rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Beatrice Chepkoech,KEN,8:55.58,,1,"Palo Alto, CA (USA)",Jun 30
2,Emma Coburn,USA,9:02.35,,2f,Doha (QAT),Sep 30
3,Gesa Felicitas Krause,GER,9:03.30,,3f,Doha (QAT),Sep 30
4,Norah Jeruto,KEN,9:03.71,,1,Oslo (NOR),Jun 13
5,Hyvin Kiyeng,KEN,9:03.83,,2,Zürich (SUI),Aug 29
6,Winfred Mutile Yavi,BRN,9:05.68,,4f,Doha (QAT),Sep 30
7,Daisy Jepkemei,KEN,9:06.66,,4,Zürich (SUI),Aug 29
8,Celliphine Chepteek Chespol,KEN,9:06.76,,2,Birmingham (GBR),Aug 18
9,Courtney Frerichs,USA,9:09.75,,5,"Palo Alto, CA (USA)",Jun 30
10,Peruth Chemutai,UGA,9:11.08,,5f,Doha (QAT),Sep 30
11,Colleen Quigley,USA,9:11.41,,7,"Palo Alto, CA (USA)",Jun 30
12,Anna Emilie Møller,DEN,9:13.46,,7f,Doha (QAT),Sep 30
13,Luiza Gega,ALB,9:19.93,,9f,Doha (QAT),Sep 30
14,Karoline Bjerkeli Grøvdal,NOR,9:20.69,,9,Zürich (SUI),Aug 29
15,Marua Mima,SLO,9:20.97,,9,"Bislett, Oslo (NOR)",Jun 13
16,Mercy Chepkurui,KEN,9:23.59,,5,Shanghai (CHN),May 18
17,Genevieve Gregson,AUS,9:23.84,,10f,Doha (QAT),Sep 30
18,Mekides Abebe,ETH,9:25.66,,11f,Doha (QAT),Sep 30
19,Mercy Wanjiru,KEN,9:25.85,,2,Nairobi (KEN),Jun 22
20,Zita Kácser,HUN,9:26.59,,1,Budapest (HUN),Aug 31
21,Roseline Chepngetich,KEN,9:27.10,,12,"Palo Alto, CA (USA)",Jun 30
22,Irene Sánchez-Escribano,ESP,9:27.53,,10,Birmingham (GBR),Aug 18
23,Mel Lawrence,USA,9:29.81,,13,Oslo (NOR),Jun 13
24,Geneviève Lalonde,CAN,9:29.82,,7,Shanghai (CHN),May 18
25,Elizabeth Bird,GBR,9:30.13,,6h2,Doha (QAT),Sep 27
