rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Ruth Jebet,BRN,8:55.29,,1,Zürich (Letzigrund),Aug 24
2,Celliphine Chepteek Chespol,KEN,8:58.78,,1,"Eugene, OR",May 26
3,Beatrice Chepkoech,KEN,8:59.84,,2,Zürich (Letzigrund),Aug 24
4,Hyvin Kiyeng Jepkemoi,KEN,9:00.12,,1,Doha,May 05
5,Emma Coburn,USA,9:02.58,,1,London (Olympic Stadium),Aug 11
6,Norah Jeruto Tanui,KEN,9:03.70,,1,Berlin (Olympiastadion),Aug 27
7,Courtney Frerichs,USA,9:03.77,,2,London (Olympic Stadium),Aug 11
8,Sofia Assefa,ETH,9:07.06,,1,Hengelo,Jun 11
9,Gesa Felicitas Krause,GER,9:11.85,,2,Berlin (Olympiastadion),Aug 27
10,Etenesh Diro,ETH,9:13.25,,6,Paris (Stade Charléty),Jul 01
11,Karoline Bjerkeli Grøvdal,NOR,9:13.35,,1,Sandnes,Aug 26
12,Colleen Quigley,USA,9:15.97,,3,Berlin (Olympiastadion),Aug 27
13,Aisha Praught,JAM,9:19.29,,8,Doha,May 05
14,Daisy Jepkemei,KEN,9:19.68,,2,Zagreb,Aug 29
15,Habiba Ghribi,TUN,9:20.00,,1,Radés,Jul 16
16,Purity Cherotich Kirui,KEN,9:20.07,,6,"Eugene, OR",May 26
17,Joan Chepkemoi,KEN,9:20.22,,3,Zagreb,Aug 29
18,Fabienne Schlumpf,SUI,9:21.65,,3,Oslo (Bislett),Jun 15
19,Winfred Mutile Yavi,BRN,9:22.67,,8,London (Olympic Stadium),Aug 11
20,Fadwa Sidi Madane,MAR,9:23.99,,3,Rabat,Jul 16
21,Joan Kipkemoi Rotich,KEN,9:24.41,,5,Berlin (Olympiastadion),Aug 27
22,Genevieve LaCaze,AUS,9:24.52,,6,Berlin (Olympiastadion),Aug 27
23,Birtukan Adamu,ETH,9:24.97,,6,Shanghai (SS),May 13
24,Stephanie Garcia,USA,9:25.04,,8,"Eugene, OR",May 26
25,Amina Bettiche,ALG,9:25.90,,2,Baku (Olympic Stadium),May 17
