rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Tatyana Lebedeva,RUS,15.23,,1,Athens,Jul 03
2,Trecia Smith,JAM,15.05,,1,Helsinki,Jul 26
2,Hrysopiyí Devetzí,GRE,15.05,,2,Göteborg,Aug 09
4,Anna Pyatykh,RUS,15.02,,3,Göteborg,Aug 09
5,Yargelis Savigne,CUB,14.91,,3,Athens,Jul 03
6,Yamilé Aldama,SUD,14.78,,3,Athens,Sep 16
7,Yelena Oleynikova,RUS,14.63,,2,Tula,Jun 12
8,Viktoriya Gurova,RUS,14.60,,1,Sochi,May 28
9,Limei Xie,CHN,14.54,,1,Shijiazhuang,Aug 06
9,Anastasiya Zhuravleva,UZB,14.54,,5,Athens,Sep 16
11,Marija estak,SLO,14.53,,1,Celje,Sep 13
12,Olesya Bufalova,RUS,14.50,,1,Tula,Jul 16
13,Oksana Rogova,RUS,14.49,,3,Tula,Jun 12
14,Natalya Safronova,BLR,14.43,,1,"Brest, BLR",Jul 06
14,Kaire Leibak,EST,14.43,,1,Beijing,Aug 17
16,Adelina Gavrila,ROU,14.41,,1,Bucharest,Jul 25
16,Olha Saladuha,UKR,14.41,,3,Rieti,Aug 27
18,Yusmay Bicet,CUB,14.29,,2,La Habana,Feb 24
19,Yariayna Martínez,CUB,14.28,,1,Santo Domingo,Jul 08
20,Mabel Gay,CUB,14.27,,3,La Habana,Feb 24
20,Carlota Castrejana,ESP,14.27,,2,Huelva,Jun 20
22,Magdelín Martínez,ITA,14.25,,1,Prague,Jun 17
23,Irina Vasilyeva,RUS,14.24,,5,Tula,Jun 12
24,Tereza Marinova,BUL,14.23,,3,Athens,May 31
25,Simona La Mantia,ITA,14.21,,1,Torino,Jul 07
