rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Tatyana Lebedeva,RUS,15.25,,1,Edmonton,Aug 10
2,Tereza Marinova,BUL,14.77,,1,Melbourne,Sep 9
3,Qiuyan Huang,CHN,14.72,,1,Guangzhou,Nov 22
4,Francoise Mbango Etone,CMR,14.65,,1,Saint-Etienne,Jun 30
5,Cristina Nicolau,ROU,14.62,,1,Ottawa,Jul 22
6,Nadezhda Bazhenova,RUS,14.60,,1,Moscow,Jun 23
7,Yelena Oleynikova,RUS,14.59,,2,Tula,Jul 15
7,Magdelín Martínez,ITA,14.59,,Q,Edmonton,Aug 8
9,Irina Vasilyeva,RUS,14.57,,2,Moscow,Jun 23
9,Natalya Safronova,BLR,14.57,,2,Beijing,Sep 1
11,Ashia Hansen,GBR,14.51,,3Q,Edmonton,Aug 08
12,Olga Yershova,RUS,14.38,,q,Tula,Jul 13
13,Olena Hovorova,UKR,14.33,,2,Rieti,Sep 02
14,Ren Ni,CHN,14.29,,3,Guangzhou,Nov 22
15,Heli Koivula,FIN,14.28,,3Q,Edmonton,Aug 08
16,Yevgeniya Fadeyeva,RUS,14.27,,4,Tula,Jul 15
17,Liliana Zagacka,POL,14.22,,1,Biala Podlaska,Jul 06
18,Galina Sharova,RUS,14.21,,4,Moscow,Jun 23
18,Anna Pyatykh,RUS,14.21,,5,Tula,Jul 15
20,Oksana Rogova,RUS,14.20,,2,Kalamáta,Jun 02
21,Anastasiya Ilyina,RUS,14.19,,2,Chánia,Jun 04
21,Yuliana Perez,USA,14.19,A,1,"Albuquerque, NM",Jul 08
23,Adelina Gavrila,ROU,14.18,,1,Tríkala,Jul 07
23,Mariya Dimitrova,BUL,14.18,,1,Dimitrovgrad,Jul 18
25,Yelena Lebedenko,RUS,14.17,,2,Moscow,Jul 28
1,Tereza Marinova,BUL,14.91,i,1,Lisboa,Mar 11
2,Yelena Lebedenko,RUS,14.83,i,1,Samara,Feb 01
