rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Noureddine Morceli,ALG,3.45.19,,1,Zürich,Aug 16
2,Hicham El Guerrouj,MAR,3.48.69,,2,Zürich,Aug 16
3,Venuste Niyongabo,BUR,3.49.80,,1,London,Aug 27
4,Eric Dubus,FRA,3.50.33,,3,Zürich,Aug 16
5,Steve Holman,USA,3.50.76,,4,Zürich,Aug 16
6,Vyacheslav Shabunin,RUS,3.51.02,,5,Zürich,Aug 16
7,Mohamed Suleiman,QAT,3.51.12,,6,Zürich,Aug 16
8,John Mayock,GBR,3.51.89,,7,Zürich,Aug 16
9,Kevin Sullivan,CAN,3.52.25,,8,Zürich,Aug 16
10,Terrance Herrington,USA,3.53.64,,2,London,Aug 27
11,Ismail Sghyr,MAR,3.54.2,,2,Nice,Jul 12
12,Marcus O'Sullivan,IRL,3.54.62,,5,Berlin,Sep 01
13,David Kibet,KEN,3.55.20,,3,Eugene,Jun 04
14,Christian Cushing-Murray,USA,3.55.42,,4,Eugene,Jun 04
15,Jason Pyrah,USA,3.55.47,,5,Eugene,Jun 04
16,Gregory Whiteley,USA,3.55.80,,6,Eugene,Jun 04
17,Matt Giusto,USA,3.55.83,,7,Eugene,Jun 04
18,Reyes Estévez,ESP,3.55.90,,4,London,Aug 27
19,Gareth Lough,GBR,3.55.91,,5,London,Aug 27
20,David Strang,GBR,3.56.05,,8,Eugene,Jun 04
21,Gordon Johnson,USA,3.56.24,,9,Eugene,Jun 04
22,William Kemei,KEN,3.56.25,,10,Eugene,Jun 04
23,Graham Hood,CAN,3.56.53,,1,Hot Springs,Apr 01
24,Paul McMullen,USA,3.56.87,,6,London,Aug 27
25,David Wittman,USA,3.57.31,,11,Eugene,Jun 04
