rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Hicham El Guerrouj,MAR,3.44.60,,1,Nice,Jul 16
2,Noureddine Morceli,ALG,3.50.68,,1,Zagreb,Jul 07
3,Daniel Komen,KEN,3.50.95,,1,"Eugene, OR",May 31
4,Laban Rotich,KEN,3.51.02,,2,Nice,Jul 16
5,John Kibowen,KEN,3.51.32,,1,Stockholm,Aug 05
6,Anthony Whiteman,GBR,3.51.90,,3,Nice,Jul 16
7,John Mayock,GBR,3.51.99,,2,Sheffield,Aug 02
8,William Tanui,KEN,3.52.20,,3,Stockholm,Aug 05
9,Noah Ngeny,KEN,3.52.38,,2,"Eugene, OR",May 31
10,Driss Maazouzi,FRA,3.52.62,,4,Sheffield,Aug 02
11,Branko Zorko,CRO,3.52.64,,4,Stockholm,Aug 05
12,Steve Holman,USA,3.52.73,,4,Paris,Jul 29
13,Frederick Cheruiyot,KEN,3.52.92,,5,Sheffield,Aug 02
14,Richie Boulet,USA,3.53.26,,3,Eugene,May 31
15,Vyacheslav Shabunin,RUS,3.53.30,,5,Paris,Jul 29
16,Sammy Rono,KEN,3.53.63,,6,Paris,Jul 29
17,Salah El Ghazi,MAR,3.53.85,,7,Stockholm,Aug 05
18,Lelei David Kipkoech,KEN,3.54.08,,6,Sheffield,Aug 02
19,Jonah Birir,KEN,3.54.15,,2,Zagreb,Jul 07
20,David Krummenacker,USA,3.54.23,,2,Edwardsville,Jul 25
21,Kevin Sullivan,CAN,3.54.31,,10,Paris,Jul 29
22,Nadir Bosch,FRA,3.54.33,,11,Paris,Jul 29
23,Ali Saidi-Sief,ALG,3.54.40,,4,Bratislava,Jun 09
24,Elija Maru,KEN,3.54.55,,5,Bratislava,Jun 09
25,Paul Mwangi,KEN,3.54.81,,3,Zagreb,Jul 07
