rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Timothy Cheruiyot,KEN,3:49.87,,1f1,"Eugene, OR (USA)",May 26
2,Samuel Tefera,ETH,3:51.26,,2f1,"Eugene, OR (USA)",May 26
3,Elijah Motonei Manangoi,KEN,3:52.18,,3f1,"Eugene, OR (USA)",May 26
4,Jakob Ingebrigtsen,NOR,3:52.28,,4f1,"Eugene, OR (USA)",May 26
5,Clayton Murphy,USA,3:53.40,,5f1,"Eugene, OR (USA)",May 26
6,Matthew Centrowitz,USA,3:53.61,,6f1,"Eugene, OR (USA)",May 26
7,Lopez Lomong,USA,3:53.86,,1,"Raleigh, NC (USA)",Aug 03
8,John Gregorek,USA,3:54.53,,2,"Raleigh, NC (USA)",Aug 03
9,Bethwell Birgen,KEN,3:54.60,,7f1,"Eugene, OR (USA)",May 26
9,Stewart McSweyn,AUS,3:54.60,,1,Birmingham (GBR),Aug 18
11,Samuel Prakel,USA,3:54.64,,3,"Raleigh, NC (USA)",Aug 03
12,Patrick Casey,USA,3:54.66,,4,"Raleigh, NC (USA)",Aug 03
13,Ben Blankenship,USA,3:54.88,,5,"Raleigh, NC (USA)",Aug 03
14,Ryan Gregson,AUS,3:55.10,,2,Birmingham (GBR),Aug 18
15,Craig Engels,USA,3:55.12,,6,"Raleigh, NC (USA)",Aug 03
16,Sean McGorty,USA,3:55.21,,7,"Raleigh, NC (USA)",Aug 03
17,Eric Avila,USA,3:55.43,,1,"Memphis, TN (USA)",Aug 25
18,Ryan Hill,USA,3:55.48,,2,"Memphis, TN (USA)",Aug 25
19,Chris O'hare,GBR,3:55.53,,1,"Bay Shore, NY (USA)",Sep 05
20,Colby Alexander,USA,3:55.81,,1,"West Long Branch, NJ (USA)",Jul 31
21,Ayanleh Souleiman,DJI,3:55.87,,8f1,"Eugene, OR (USA)",May 26
22,Hassan Mead,USA,3:55.91,,8,"Raleigh, NC (USA)",Aug 03
23,Paul Chelimo,USA,3:55.96,,3,Birmingham (GBR),Aug 18
24,Charlie Marquardt,USA,3:55.97,,9,"Raleigh, NC (USA)",Aug 03
25,Tripp Hurt,USA,3:56.02,,5,"Memphis, TN (USA)",Aug 25
