rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Jerome Magee,USA,3.58,,1,Champaign,May 03
2,Lloyd A. Gray,USA,3.55,,1,Philadelphia,Apr 26
3,Daniel Horton,USA,3.53,,1,New York,May 31
4,H. Thurman Chapman,USA,3.51,,1,Chicago,May 31
4,Charles Dvorak,USA,3.51,,2,Chicago,May 31
6,W.A. Frederick,USA,3.43,,1,Ithaca,May 03
7,J.C. Preston,USA,3.42,,1,"Cambridge, MA",May 24
8,Bruno Söderström,SWE,3.40,,1,Jönköping,Aug 31
9,Alexander W. Coleman,USA,3.36,,1=q,New York,May 30
9,Robert T. Hinton,USA,3.36,,1=q,New York,May 30
9,Jakob Kauser,HUN,3.36,,1,Budapest,Jun 15
12,William Baird,USA,3.35,,2hcp,Princeton,Apr 19
12,Frank.B. Scheuber,USA,3.35,,2,"Cambridge, MA",May 24
12,F.W. Lee,USA,3.35,,1,Des Moines,May 29
12,Harry L. Gardner,USA,3.35,,1q=,New York,May 30
12,J.E. Peters,USA,3.35,,1hcp,New York,Jun 07
12,August Anderson,USA,3.35,,1,New York,Aug 30
12,Lawrence P. McGovern,USA,3.35,,1,,
12,Joseph B. Phillips,USA,3.35,,1,,
20,J.A. Wilcox,USA,3.32,,,,
21,Ivar Hansson,SWE,3.30,,1,Helsingborg,Sep 21
22,D.P. Thompson,USA,3.28,,1,New Haven,May 03
22,Herbert H. Pease,USA,3.28,,2,New Haven,May 10
22,Philip A. Moore,USA,3.28,,1=,Albany,May 17
22,Frederick Squires,USA,3.28,,2,New York,Aug 30
22,Daniel K. Reuss,USA,3.28,,3,New York,Aug 30
