rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Mariem Alaoui Selsouli,MAR,8:34.47,,1,"Eugene, OR",Jun 02
2,Sally Jepkosgei Kipyego,KEN,8:35.89,,2,"Eugene, OR",Jun 02
3,Mercy Cherono,KEN,8:38.51,,1,Monaco,Jul 20
4,Sylvia Chibiwott Kibet,KEN,8:39.14,,2,Monaco,Jul 20
5,Buze Diriba,ETH,8:39.65,,3,Monaco,Jul 20
6,Shannon Rowbury,USA,8:39.83,,4,Monaco,Jul 20
7,Azemra Gebru,ETH,8:40.01,,5,Monaco,Jul 20
8,Veronica Nyaruai Wanjiru,KEN,8:40.81,,6,Monaco,Jul 20
9,Vivian Jepkemoi Cheruiyot,KEN,8:41.22,,2,"Birmingham, GBR",Aug 26
10,Emebet Anteneh,ETH,8:43.20,,7,Monaco,Jul 20
11,Gabrielle Anderson,USA,8:43.52,,8,Monaco,Jul 20
12,Mimi Belete,BRN,8:43.64,,9,Monaco,Jul 20
13,Viola Jelagat Kibiwot,KEN,8:43.75,,4,"Birmingham, GBR",Aug 26
14,Yuliya Fomenko,RUS,8:44.60,,1,Sankt-Peterburg,Jul 25
15,Gelete Burka,ETH,8:45.09,,4,Lausanne,Aug 23
16,Julie Culley,USA,8:45.57,,10,Monaco,Jul 20
17,Julia Bleasdale,GBR,8:46.38,,6,"Birmingham, GBR",Aug 26
18,Meseret Defar,ETH,8:46.49,,2,Doha,May 11
19,Mary Waithera,KEN,8:48.16,,1,Gifu,Oct 09
20,Jennifer Simpson,USA,8:48.72,,11,Monaco,Jul 20
21,Almaz Ayana,ETH,8:49.64,,3,Haldensleben,Jul 15
22,Priscah Jepleting Cherono,KEN,8:50.04,,5,Doha,May 11
23,Elizabeth Maloy,USA,8:50.95,,3,"Eugene, OR",Jun 02
24,Brianna Felnagle,USA,8:51.38,,4,"Eugene, OR",Jun 02
25,Yuliya Vasilyeva,RUS,8:51.62,,12,Monaco,Jul 20
