rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Bernard Barmasai,KEN,7.55.72,,1,Köln,Aug 24
2,Moses Kiptanui,KEN,7.56.16,,2,Köln,Aug 24
3,Wilson Boit Kipketer,KEN,7.59.08,,1,Zürich,Aug 13
4,Patrick Sang,KEN,8.03.41,,3,Köln,Aug 24
5,John Kosgei,KEN,8.03.89,,3,Monaco,Aug 16
6,Eliud Barngetuny,KEN,8.05.84,,4,Monaco,Aug 16
7,Paul Kosgei,KEN,8.07.69,,5,Stockholm,Jul 7
8,Saad Shaddad Al-Asmari,KSA,8.08.26,,6,Stockholm,Jul 7
9,Christopher Koskei,KEN,8.10.19,,4,Nizza,Jul 16
10,Joseph Keter,KEN,8.10.20,,6,Zürich,Aug 13
11,Sun Ripeng,CHN,8.10.46,,1,Shanghai,Oct 19
12,Hicham Bouaouiche,MAR,8.10.64,,5,Nice,Jul 16
13,Brahim Boulami,MAR,8.10.84,,6,Nice,Jul 16
14,Matthew Birir,KEN,8.10.88,,5,Köln,Aug 24
15,Elarbi Khattabi,MAR,8.11.50,,6,Köln,Aug 24
16,Jim Svenøy,NOR,8.12.05,,7,Brussels,Aug 22
17,Mark Croghan,USA,8.13.19,,7,Monaco,Aug 16
18,Jonathan Kandie,KEN,8.15.20,,2,Bratislava,Jun 10
19,Angelo Carosi,ITA,8.16.01,,8,Athens,Aug 06
20,Kipkurui Misoi,KEN,8.16.76,,2,Dortmund,Jun 08
21,Samuel Chepkok,KEN,8.17.04,,2,Hechtel,Jul 19
22,Marc Davis,USA,8.17.61,,12,Stockholm,Jul 07
23,Li Changzhong,CHN,8.17.97,,2,Shanghai,Oct 19
24,Marc Ostendarp,GER,8.18.49,,9,Athens,Aug 06
25,Julius Chelule,KEN,8.18.71,,4,Bratislava,Jun 10
