rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Jerzy Chromik,POL,8.32.0,,1,Warsaw,Aug 2
2,Zdzislaw Krzyszkowiak,POL,8.33.6,,2,Warsaw,Aug 2
3,Semyon Rzhishchin,URS,8.35.6,,1,Tallinn,Jul 21
4,Hans Hüneke,FRG,8.37.4,,1,Kassel,Aug 3
5,Hermann Buhl,GDR,8.37.6,,2,Kassel,Aug 3
6,Sergey Ponomaryev,URS,8.40.6,,2,Tallinn,Jul 21
7,Philip Coleman,USA,8.40.8,,3,Warsaw,Aug 2
7,Gyula Varga,HUN,8.40.8,,1,Budapest,Sep 7
9,Vlastimil Brlica,TCH,8.42.2,,2,Budapest,Sep 7
10,Vladimir Yevdokimov,URS,8.42.4,,3,Tallinn,Jul 21
10,Gerhard Hecker,HUN,8.42.4,,3,Budapest,Sep 07
12,Vasiliy Vlasenko,URS,8.43.2,,4,Tallinn,Jul 21
13,Laszlo Jeszenszky,HUN,8.45.2,,3,Budapest,Aug 05
14,Friedrich Janke,GDR,8.45.4,,3,Leipzig,Sep 27
15,Fred Döring,GDR,8.48.0,,3,Kassel,Aug 03
15,Laszlo Wittine,HUN,8.48.0,,4,Budapest,Aug 05
17,Gennadiy Repin,URS,8.48.9,,1,Kharkov,Jul 27
18,Ernst Larsen,NOR,8.49.4,,2,London,Sep 03
19,Grigoriy Taran,URS,8.49.6,,1,Kiev,Jul 30
20,Viktor Pilyukov,URS,8.50.0,,2,Minsk,Aug 12
20,Olavi Rinteenpää,FIN,8.50.0,,1,Porvoo,Aug 31
22,Lars Helander,SWE,8.50.2,,7,Stockholm,Aug 22
23,Bohumir Zhanal,TCH,8.50.6,,4,Budapest,Sep 07
24,Eric Shirley,GBR,8.51.0,,1,London,Jul 12
25,John Disley,GBR,8.51.2,,2,London,Jul 12
25,Georgios Papavasiliou,GRE,8.51.2,,8,Stockholm,Aug 22
